NEW ENTRY OF BENCHMARK DATA OF JACOBI SOLVER
Residual:	6.9226e-11	 | Aver Time (ms):	0.0168507	 | Aver Iters:	150.001
Residual:	5.8372e-11	 | Aver Time (ms):	0.0170771	 | Aver Iters:	151.002
Residual:	4.92196e-11	 | Aver Time (ms):	0.0172486	 | Aver Iters:	152.002
Residual:	3.49956e-11	 | Aver Time (ms):	0.0174694	 | Aver Iters:	154.002
Residual:	2.09806e-11	 | Aver Time (ms):	0.0178146	 | Aver Iters:	157.002
Residual:	1.06057e-11	 | Aver Time (ms):	0.0209417	 | Aver Iters:	161.002
NEW ENTRY OF BENCHMARK DATA OF JACOBI SOLVER
Matrix Size:	100	 | Solver Invokations Iters Block Size:	100000	 | Solver Iters Block Size:	1
Residual:	8.94285e-12	 | Aver Time (ms):	0.0184251	 | Aver Iters:	162
Residual:	7.54086e-12	 | Aver Time (ms):	0.0185482	 | Aver Iters:	163.002
Residual:	6.35803e-12	 | Aver Time (ms):	0.0186688	 | Aver Iters:	164.002
Residual:	5.36149e-12	 | Aver Time (ms):	0.0188763	 | Aver Iters:	165.002
Residual:	4.52094e-12	 | Aver Time (ms):	0.019019	 | Aver Iters:	166.002
Residual:	3.21387e-12	 | Aver Time (ms):	0.0194177	 | Aver Iters:	168.002
Residual:	2.28539e-12	 | Aver Time (ms):	0.0194568	 | Aver Iters:	170.002
Residual:	1.15608e-12	 | Aver Time (ms):	0.0227416	 | Aver Iters:	174.002
NEW ENTRY OF BENCHMARK DATA OF JACOBI SOLVER
Matrix Size:	100	 | Solver Invokations Iters Block Size:	100000	 | Solver Iters Block Size:	1
Residual:	9.74998e-13	 | Aver Time (ms):	0.0195933	 | Aver Iters:	175
Residual:	8.21454e-13	 | Aver Time (ms):	0.019751	 | Aver Iters:	176.002
Residual:	6.93223e-13	 | Aver Time (ms):	0.0198313	 | Aver Iters:	177.002
Residual:	5.84199e-13	 | Aver Time (ms):	0.0200721	 | Aver Iters:	178.002
Residual:	4.92273e-13	 | Aver Time (ms):	0.0201953	 | Aver Iters:	179.002
Residual:	3.51497e-13	 | Aver Time (ms):	0.0205472	 | Aver Iters:	181.002
Residual:	2.09721e-13	 | Aver Time (ms):	0.0242739	 | Aver Iters:	184.002
Residual:	1.06248e-13	 | Aver Time (ms):	0.0248767	 | Aver Iters:	188.002
NEW ENTRY OF BENCHMARK DATA OF JACOBI SOLVER
Matrix Size:	100	 | Solver Invokations Iters Block Size:	100000	 | Solver Iters Block Size:	1
Residual:	8.9706e-14	 | Aver Time (ms):	0.021826	 | Aver Iters:	189
Residual:	7.52731e-14	 | Aver Time (ms):	0.0220518	 | Aver Iters:	190.002
Residual:	6.37268e-14	 | Aver Time (ms):	0.0221362	 | Aver Iters:	191.002
Residual:	5.34017e-14	 | Aver Time (ms):	0.0223429	 | Aver Iters:	192.002
Residual:	4.57412e-14	 | Aver Time (ms):	0.0239296	 | Aver Iters:	193.002
Residual:	3.21965e-14	 | Aver Time (ms):	0.0264832	 | Aver Iters:	195.002
Residual:	2.30926e-14	 | Aver Time (ms):	0.0263951	 | Aver Iters:	197.002
Residual:	1.0103e-14	 | Aver Time (ms):	0.0268552	 | Aver Iters:	202.002
NEW ENTRY OF BENCHMARK DATA OF JACOBI SOLVER
Matrix Size:	100	 | Solver Invokations Iters Block Size:	100000	 | Solver Iters Block Size:	1
Residual:	7.99361e-15	 | Aver Time (ms):	0.0230694	 | Aver Iters:	203
Residual:	7.99361e-15	 | Aver Time (ms):	0.0233804	 | Aver Iters:	203.002
Residual:	6.99441e-15	 | Aver Time (ms):	0.0234443	 | Aver Iters:	204.002
Residual:	5.55112e-15	 | Aver Time (ms):	0.0270591	 | Aver Iters:	205.002
Residual:	4.21885e-15	 | Aver Time (ms):	0.0281692	 | Aver Iters:	206.002
Residual:	3.55271e-15	 | Aver Time (ms):	0.0282565	 | Aver Iters:	207.002
Residual:	2.10942e-15	 | Aver Time (ms):	0.028229	 | Aver Iters:	210.002
Residual:	3.33067e-16	 | Aver Time (ms):	0.0286272	 | Aver Iters:	213.002
